sample,timepoint,species,treatment,depth,cosm
T11.1.1,T11,At,1,573.1107859859751,1
T11.1.2,T11,At,1,539.0379854977288,2
T11.3.1,T11,At,3,1621.4881116960557,1
T11.3.2,T11,At,3,1941.837504583319,2
T11.3.3,T11,At,3,1780.9807164479835,3
T11.3.4,T11,At,3,2011.2151251029086,4
T11.3.5,T11,At,3,1919.8464279089767,5
T11.4.1,T11,At,4,1191.2670418413602,1
T11.4.2,T11,At,4,1282.3818784012055,2
T11.4.3,T11,At,4,1322.9877117406152,3
T11.4.4,T11,At,4,1384.0534681784486,4
T11.4.5,T11,At,4,1111.6367837446985,5
T22.1.1,T22,At,1,107.22192316602843,1
T22.1.2,T22,At,1,112.43203169917898,2
T22.3.1,T22,At,3,495.3984502279292,1
T22.3.2,T22,At,3,501.5727432937999,2
T22.3.3,T22,At,3,440.2397909627979,3
T22.3.4,T22,At,3,549.0040785502235,4
T22.3.5,T22,At,3,486.4850036542546,5
T22.4.1,T22,At,4,354.38856912999626,1
T22.4.2,T22,At,4,323.06139283240367,2
T22.4.3,T22,At,4,270.5887035862287,3
T22.4.4,T22,At,4,371.0907892619733,4
T22.4.5,T22,At,4,500.00780798911126,5
T33.1.1,T33,At,1,387.6756351603651,1
T33.1.2,T33,At,1,375.0688550336406,2
T33.3.1,T33,At,3,1343.8765959707519,1
T33.3.2,T33,At,3,738.4517584868579,2
T33.3.3,T33,At,3,1224.7892577836146,3
T33.3.4,T33,At,3,1494.583301733614,4
T33.3.5,T33,At,3,1379.2507571858414,5
T33.4.1,T33,At,4,1065.3525566857463,1
T33.4.2,T33,At,4,1057.829074045718,2
T33.4.3.rep,T33,At,4,1155.3247339676984,3
T33.4.4,T33,At,4,1066.1949787451238,4
T33.4.5,T33,At,4,1084.4624079623757,5
T44.1.1,T44,At,1,334.14317024202006,1
T44.1.2,T44,At,1,379.6811268265499,2
T44.3.1,T44,At,3,1480.9603950980904,1
T44.3.2,T44,At,3,1436.4385967087821,2
T44.3.3.rep,T44,At,3,1696.7503884318007,3
T44.3.4,T44,At,3,1801.0642169824484,4
T44.3.5,T44,At,3,1576.8729721954232,5
T44.4.1,T44,At,4,1172.1689758528078,1
T44.4.2,T44,At,4,1222.3128118414816,2
T44.4.3,T44,At,4,1183.146739290532,3
T44.4.4,T44,At,4,1246.9836098533183,4
T44.4.5.rep,T44,At,4,1255.4911490757956,5
T11.2.1,T11,Ct,2,18.152391767516406,1
T11.2.2.rep,T11,Ct,2,468.24432246166776,2
T11.2.3,T11,Ct,2,19.90063610612621,3
T11.2.4.rep,T11,Ct,2,419.04579938010727,4
T11.2.5.rep,T11,Ct,2,476.886678080192,5
T11.3.1,T11,Ct,3,38.16516774131819,1
T11.3.2,T11,Ct,3,51.68868667824141,2
T11.3.3,T11,Ct,3,42.9503703400095,3
T11.3.4,T11,Ct,3,35.045475466238905,4
T11.3.5,T11,Ct,3,31.069566135090856,5
T11.4.1,T11,Ct,4,80.1726034975148,1
T11.4.2,T11,Ct,4,66.31821940282182,2
T11.4.3,T11,Ct,4,57.020991067847895,3
T11.4.4,T11,Ct,4,70.15346603959313,4
T11.4.5,T11,Ct,4,24.1249510129182,5
T22.2.1,T22,Ct,2,58.22744064417693,1
T22.2.2,T22,Ct,2,81.88025829842998,2
T22.2.3,T22,Ct,2,96.07073145190677,3
T22.2.4,T22,Ct,2,83.74706030497471,4
T22.2.5,T22,Ct,2,83.18869702146789,5
T22.3.1,T22,Ct,3,43.614019336809235,1
T22.3.2,T22,Ct,3,27.217274318937392,2
T22.3.3,T22,Ct,3,54.08816067181373,3
T22.3.4,T22,Ct,3,43.54291481207315,4
T22.3.5,T22,Ct,3,14.95265178536348,5
T22.4.1,T22,Ct,4,18.728377070497164,1
T22.4.2,T22,Ct,4,21.303919258206037,2
T22.4.3,T22,Ct,4,29.4002918079405,3
T22.4.4,T22,Ct,4,66.56155237157753,4
T22.4.5,T22,Ct,4,12.799049813457776,5
T33.2.1.rep,T33,Ct,2,372.422458601232,1
T33.2.2.rep,T33,Ct,2,338.2248659133696,2
T33.2.3.rep,T33,Ct,2,362.0865734272122,3
T33.2.4.rep,T33,Ct,2,321.1957671327661,4
T33.2.5.rep,T33,Ct,2,63.5727418134652,5
T33.3.1,T33,Ct,3,50.51620488000613,1
T33.3.2,T33,Ct,3,24.820528844202137,2
T33.3.3,T33,Ct,3,78.79516065471398,3
T33.3.4,T33,Ct,3,52.53469290228749,4
T33.3.5,T33,Ct,3,55.764568950022145,5
T33.4.1,T33,Ct,4,67.93745325507066,1
T33.4.2,T33,Ct,4,46.41193962594335,2
T33.4.3.rep,T33,Ct,4,44.85163362378018,3
T33.4.4,T33,Ct,4,62.17525990739728,4
T33.4.5,T33,Ct,4,43.227129437213655,5
T44.2.1,T44,Ct,2,342.2344130510878,1
T44.2.2.rep,T44,Ct,2,328.91300606876365,2
T44.2.3.rep,T44,Ct,2,366.10151567396946,3
T44.2.4.rep,T44,Ct,2,351.1023589655927,4
T44.2.5.rep,T44,Ct,2,380.2630011264549,5
T44.3.1,T44,Ct,3,71.20453239833843,1
T44.3.2,T44,Ct,3,30.396722762096992,2
T44.3.3.rep,T44,Ct,3,87.38696690076783,3
T44.3.4,T44,Ct,3,73.30540953693239,4
T44.3.5,T44,Ct,3,57.70221453444378,5
T44.4.1,T44,Ct,4,58.61923263699005,1
T44.4.2,T44,Ct,4,28.5599490077412,2
T44.4.3,T44,Ct,4,32.23383649908248,3
T44.4.4,T44,Ct,4,47.59456492520082,4
T44.4.5.rep,T44,Ct,4,57.61658906024038,5
T11.3.1,T11,Ms,3,20.12085864737363,1
T11.3.2,T11,Ms,3,3.3570232241947555,2
T11.3.3,T11,Ms,3,3.9436858408760394,3
T11.3.4,T11,Ms,3,5.716932193506979,4
T11.3.5,T11,Ms,3,7.527302157583156,5
T11.4.1,T11,Ms,4,0.0,1
T11.4.2,T11,Ms,4,18.125582461385154,2
T11.4.3,T11,Ms,4,24.84068910034392,3
T11.4.4,T11,Ms,4,0.0,4
T11.4.5,T11,Ms,4,0.0,5
T22.3.1,T22,Ms,3,1.0275041564780687,1
T22.3.2,T22,Ms,3,0.0,2
T22.3.3,T22,Ms,3,0.0,3
T22.3.4,T22,Ms,3,0.0,4
T22.3.5,T22,Ms,3,2.4015656448111478,5
T22.4.1,T22,Ms,4,0.0,1
T22.4.2,T22,Ms,4,1.3013980337112787,2
T22.4.3,T22,Ms,4,1.776697218272631,3
T22.4.4,T22,Ms,4,0.0,4
T22.4.5,T22,Ms,4,1.2661694313804124,5
T33.3.1,T33,Ms,3,27.866230979960275,1
T33.3.2,T33,Ms,3,23.92007122370082,2
T33.3.3,T33,Ms,3,90.87032956690784,3
T33.3.4,T33,Ms,3,44.37324539974439,4
T33.3.5,T33,Ms,3,11.250683696098113,5
T33.4.1,T33,Ms,4,0.0,1
T33.4.2,T33,Ms,4,17.039378370824068,2
T33.4.3.rep,T33,Ms,4,8.15824871486383,3
T33.4.4,T33,Ms,4,0.0,4
T33.4.5,T33,Ms,4,6.156064943429703,5
T44.3.1,T44,Ms,3,3.420637930132009,1
T44.3.2,T44,Ms,3,3.3366682622077493,2
T44.3.3.rep,T44,Ms,3,8.232462808381172,3
T44.3.4,T44,Ms,3,4.799935203714743,4
T44.3.5,T44,Ms,3,8.935358460908091,5
T44.4.1,T44,Ms,4,0.0,1
T44.4.2,T44,Ms,4,2.0456956748939685,2
T44.4.3,T44,Ms,4,3.5571645095823157,3
T44.4.4,T44,Ms,4,0.0,4
T44.4.5.rep,T44,Ms,4,6.5194751054237,5
T11.4.1,T11,Oa,4,115.94612553623294,1
T11.4.2,T11,Oa,4,85.46116455819266,2
T11.4.3,T11,Oa,4,247.70887134055198,3
T11.4.4,T11,Oa,4,99.47903338315895,4
T11.4.5,T11,Oa,4,47.75588741842575,5
T22.4.1,T22,Oa,4,19.208482749401487,1
T22.4.2,T22,Oa,4,2.5976761821429872,2
T22.4.3,T22,Oa,4,22.81801533656592,3
T22.4.4,T22,Oa,4,10.698777255216498,4
T22.4.5,T22,Oa,4,12.725229939115534,5
T33.4.1,T33,Oa,4,48.91451091910022,1
T33.4.2,T33,Oa,4,22.243969910192376,2
T33.4.3.rep,T33,Oa,4,6.7302708325737965,3
T33.4.4,T33,Oa,4,67.59255804683607,4
T33.4.5,T33,Oa,4,5.6653226390559865,5
T44.4.1,T44,Oa,4,16.281622710756256,1
T44.4.2,T44,Oa,4,7.78838902864365,2
T44.4.3,T44,Oa,4,11.448270079113348,3
T44.4.4,T44,Oa,4,9.512141553343785,4
T44.4.5.rep,T44,Oa,4,13.783369280688323,5
